Project,Report's URL,Sentence,Location Mentioned,"Admin 1
Governorate/ Province","Admin 2
Provincial Capital","Admin 3
District",Admin 4,
Iraq,https://reliefweb.int/report/iraq/iraq-2017-humanitarian-needs-overview,"At least 3 million Iraqis living in host communities and 1.4 million Iraqis living in newly retaken areas, including 800,000 people in Mosul city and 600,000 in surrounding areas, are expected to require assistance. Upto 300,000 people are expected to remain in areas outside Government control for at least a portion of the year, primarily in western Anbar and 230,000 Syrian refugees are expected to remain in Iraq and to require continuing assistance.","Mosul
","Nineveh
","Mosul
",,,
,,"At least 3 million Iraqis living in host communities and 1.4 million Iraqis living in newly retaken areas, including 800,000 people in Mosul city and 600,000 in surrounding areas, are expected to require assistance. Upto 300,000 people are expected to remain in areas outside Government control for at least a portion of the year, primarily in western Anbar and 230,000 Syrian refugees are expected to remain in Iraq and to require continuing assistance.",Wester Anbar,Al Anbar/ Anbar,,,,
,,"Attacks on Sinjar, Zummar and the Ninewa Plains displace nearly 1 million people within weeks, pushing the number of displaced Iraqis to 1.8 million.","Sinjar
","Nineveh
","Mosul
","Sinjar
","
",
,,"Attacks on Sinjar, Zummar and the Ninewa Plains displace nearly 1 million people within weeks, pushing the number of displaced Iraqis to 1.8 million.",Zummar,Nineveh,Mosul ,Tal Afar,Zummar,
,,"Attacks on Sinjar, Zummar and the Ninewa Plains displace nearly 1 million people within weeks, pushing the number of displaced Iraqis to 1.8 million.",Ninewa,Nineveh,,,,
,,"Mosul falls and violence spreads across northcentral Iraq. Conﬂict related displacements increase to 1.2 million,though some displaced quickly return to Mosul.","Mosul
 ",Nineveh,Mosul,,,
,,"Military operations in Tikrit trigger displacement but also
allow for return.",Tikrit,"Saladin/ Salah al-din
",Tikrit,,,
,,"Fighting begins in Anbar and Fallujah falls, displacing about 85,000 people.","Anbar

","Al Anbar/ Anbar
","
","
",,
,,"Fighting begins in Anbar and Fallujah falls, displacing about 85,000 people.",Fallijah,Al Anbar/ Anbar,Ramadi,Fallujah,,
,,"In 2017, depending on the intensity and length of fighting in Mosul, Hawiga and Tel Afar, as many as 1.2 million additional civilians may be forced from their homes","Mosul
","Nineveh
","Mosul
","
",,
,,"In 2017, depending on the intensity and length of fighting in Mosul, Hawiga and Tel Afar, as many as 1.2 million additional civilians may be forced from their homes",Hawiga,Kirkuk,Kirkuk,Al- Hawiga,,
,,"In 2017, depending on the intensity and length of fighting in Mosul, Hawiga and Tel Afar, as many as 1.2 million additional civilians may be forced from their homes",Tel Afar,Nineveh,Mosul,Tal Afar,,
,,"Over 85,000 people are rapidly displaced from Fallujah as the city
is retaken by Iraqi security forces.",Fallujah,"Al Anbar/ Anbar
",Ramadi,Fallujah,,
,,"Iraqi civilians in conﬂict areas are in extreme danger. Families in Mosul, Hawiga and Tel Afar, and other districts under the control of ISIL, face some of the gravest threats in the Middle East.","Mosul
","Nineveh
","Mosul
","
",,
,,"Iraqi civilians in conﬂict areas are in extreme danger. Families in Mosul, Hawiga and Tel Afar, and other districts under the control of ISIL, face some of the gravest threats in the Middle East.",Hawiga,Kirkuk,Kirkuk,Al- Hawiga,,
,,"Iraqi civilians in conﬂict areas are in extreme danger. Families in Mosul, Hawiga and Tel Afar, and other districts under the control of ISIL, face some of the gravest threats in the Middle East.",Tel Afar,Nineveh,Mosul ,Tal Afar,,
,," 1.1 million people who may be newly displaced during operations in Mosul city, Tel Afar and environs; and 80,000 people who may be newly displaced from Hawiga. Of these, 1.1 million are expected to be resident in camps and emergency sites and 3.1 million to be resident in host communities.","Mosul
","Nineveh
","Mosul
","
",,
,," 1.1 million people who may be newly displaced during operations in Mosul city, Tel Afar and environs; and 80,000 people who may be newly displaced from Hawiga. Of these, 1.1 million are expected to be resident in camps and emergency sites and 3.1 million to be resident in host communities.",Hawiga,Kirkuk,Kirkuk,Al- Hawiga,,
,," 1.1 million people who may be newly displaced during operations in Mosul city, Tel Afar and environs; and 80,000 people who may be newly displaced from Hawiga. Of these, 1.1 million are expected to be resident in camps and emergency sites and 3.1 million to be resident in host communities.",Tel Afar,Nineveh,Mosul,Tal Afar,,
,,"Anbar and Ninewa Governorates are at the epicentre of the crisis, hosting nearly 60 per cent of people in need of assistance and protection","Anbar

","Al Anbar/ Anbar
",,,,
,,"Anbar and Ninewa Governorates are at the epicentre of the crisis, hosting nearly 60 per cent of people in need of assistance and protection",Ninewa,Nineveh,,,,
,,"As many as 3 million people in Ninewa Governorate, including Mosul city, are expected to require some form of humanitarian support in 2017. ",Ninewa,Nineveh,,,,
,,"In addition, 425,000 people remain displaced within Anbar and up to 300,000 people in western Anbar continue to live in areas under ISIL control. In Salah al-Din, nearly 1.3 million people require assistance, double the number in 2016. In Kirkuk, 1.2 million people need support. In the hard-hit Kurdistan Region of Iraq, 20 per cent of all host populations in Dahuk, Erbil and Sulaymaniyah provinces require assistance. In Erbil, over one million people require help, in Dahuk 800,000 need assistance
and in Sulaymaniyah 250,000 will need aid in 2017.","Anbar
","Al Anbar/ Anbar
","
","

",,*Kurdistan Region
,,"In addition, 425,000 people remain displaced within Anbar and up to 300,000 people in western Anbar continue to live in areas under ISIL control. In Salah al-Din, nearly 1.3 million people require assistance, double the number in 2016. In Kirkuk, 1.2 million people need support. In the hard-hit Kurdistan Region of Iraq, 20 per cent of all host populations in Dahuk, Erbil and Sulaymaniyah provinces require assistance. In Erbil, over one million people require help, in Dahuk 800,000 need assistance
and in Sulaymaniyah 250,000 will need aid in 2017.",Salah al-Din,Erbil/Arbil (K.R),Shaqlawa,Salah al-Din,,
,,"In addition, 425,000 people remain displaced within Anbar and up to 300,000 people in western Anbar continue to live in areas under ISIL control. In Salah al-Din, nearly 1.3 million people require assistance, double the number in 2016. In Kirkuk, 1.2 million people need support. In the hard-hit Kurdistan Region of Iraq, 20 per cent of all host populations in Dahuk, Erbil and Sulaymaniyah provinces require assistance. In Erbil, over one million people require help, in Dahuk 800,000 need assistance
and in Sulaymaniyah 250,000 will need aid in 2017.",Kirkuk,Kirkuk,,,,
,,"In addition, 425,000 people remain displaced within Anbar and up to 300,000 people in western Anbar continue to live in areas under ISIL control. In Salah al-Din, nearly 1.3 million people require assistance, double the number in 2016. In Kirkuk, 1.2 million people need support. In the hard-hit Kurdistan Region of Iraq, 20 per cent of all host populations in Dahuk, Erbil and Sulaymaniyah provinces require assistance. In Erbil, over one million people require help, in Dahuk 800,000 need assistance and in Sulaymaniyah 250,000 will need aid in 2017.",Kurdistan Region,Kurdistan Region,,,,
,,"In addition, 425,000 people remain displaced within Anbar and up to 300,000 people in western Anbar continue to live in areas under ISIL control. In Salah al-Din, nearly 1.3 million people require assistance, double the number in 2016. In Kirkuk, 1.2 million people need support. In the hard-hit Kurdistan Region of Iraq, 20 per cent of all host populations in Dahuk, Erbil and Sulaymaniyah provinces require assistance. In Erbil, over one million people require help, in Dahuk 800,000 need assistance
and in Sulaymaniyah 250,000 will need aid in 2017.",Dahuk,Dohuk (K.R)   ,Dohuk,Dahuk,,
,,"In addition, 425,000 people remain displaced within Anbar and up to 300,000 people in western Anbar continue to live in areas under ISIL control. In Salah al-Din, nearly 1.3 million people require assistance, double the number in 2016. In Kirkuk, 1.2 million people need support. In the hard-hit Kurdistan Region of Iraq, 20 per cent of all host populations in Dahuk, Erbil and Sulaymaniyah provinces require assistance. In Erbil, over one million people require help, in Dahuk 800,000 need assistance and in Sulaymaniyah 250,000 will need aid in 2017.",Erbil,Erbil/Arbil (K.R),Erbil,,,
,,"In addition, 425,000 people remain displaced within Anbar and up to 300,000 people in western Anbar continue to live in areas under ISIL control. In Salah al-Din, nearly 1.3 million people require assistance, double the number in 2016. In Kirkuk, 1.2 million people need support. In the hard-hit Kurdistan Region of Iraq, 20 per cent of all host populations in Dahuk, Erbil and Sulaymaniyah provinces require assistance. In Erbil, over one million people require help, in Dahuk 800,000 need assistance and in Sulaymaniyah 250,000 will need aid in 2017.",Sulaymaniyah,Al-Sulaymaniyah,Sulaymaniyah,,,
,," In 2016, there were 5,746 explosive incidents in Anbar, Erbil, Kirkuk, Ninewa and Salah al-Din Governorates, resulting in 12,686 casualties, according to the iMMAP Security Incident Database.","Anbar
","Al Anbar/ Anbar

",,,,
,," In 2016, there were 5,746 explosive incidents in Anbar, Erbil, Kirkuk, Ninewa and Salah al-Din Governorates, resulting in 12,686 casualties, according to the iMMAP Security Incident Database.",Erbil,Erbil/Arbil (K.R),,,,
,," In 2016, there were 5,746 explosive incidents in Anbar, Erbil, Kirkuk, Ninewa and Salah al-Din Governorates, resulting in 12,686 casualties, according to the iMMAP Security Incident Database.",Kirkuk,Kirkuk,,,,
,," In 2016, there were 5,746 explosive incidents in Anbar, Erbil, Kirkuk, Ninewa and Salah al-Din Governorates, resulting in 12,686 casualties, according to the iMMAP Security Incident Database.",Ninewa,Nineveh,,,,
,," In 2016, there were 5,746 explosive incidents in Anbar, Erbil, Kirkuk, Ninewa and Salah al-Din Governorates, resulting in 12,686 casualties, according to the iMMAP Security Incident Database.",Salah al-Din,"Saladin/ Salah al-din
",,,,
,,"In many newly retaken areas hospitals are damaged and medical services often unavailable. In the most severely aﬀected areasof Anbar, Kirkuk, Ninewa, and Salah al-Din Governorates, approximately 23 hospitals and over 230 health facilities have been damaged or destroyed and are either partially or completely non-functional.","Anbar
","Al Anbar/ Anbar
",,,,
,,"In many newly retaken areas hospitals are damaged and medical services often unavailable. In the most severely aﬀected areasof Anbar, Kirkuk, Ninewa, and Salah al-Din Governorates, approximately 23 hospitals and over 230 health facilities have been damaged or destroyed and are either partially or completely non-functional.",Erbil,Erbil/Arbil (K.R),,,,
,,"In many newly retaken areas hospitals are damaged and medical services often unavailable. In the most severely aﬀected areasof Anbar, Kirkuk, Ninewa, and Salah al-Din Governorates, approximately 23 hospitals and over 230 health facilities have been damaged or destroyed and are either partially or completely non-functional.",Kirkuk,Kirkuk,,,,
,,"In many newly retaken areas hospitals are damaged and medical services often unavailable. In the most severely aﬀected areasof Anbar, Kirkuk, Ninewa, and Salah al-Din Governorates, approximately 23 hospitals and over 230 health facilities have been damaged or destroyed and are either partially or completely non-functional.",Ninewa,Nineveh,,,,
,,"In many newly retaken areas hospitals are damaged and medical services often unavailable. In the most severely aﬀected areasof Anbar, Kirkuk, Ninewa, and Salah al-Din Governorates, approximately 23 hospitals and over 230 health facilities have been damaged or destroyed and are either partially or completely non-functional.",Salah al-Din,"Saladin/ Salah al-Din
",,,,
,,"In Anbar Governorate, nearly 1.8 million people, many of them returnees, are likely to need help.",Anbar,Al Anbar/ Anbar,,,,
,,"This is particularly impactful given that crop production includingwheat, barley, maize, fruits and vegetables in Ninewa and Salahal-Din provided nearly 70 per cent of household income prior to occupation by ISIL.","Ninewa
","Nineveh
",,,,
,,"This is particularly impactful given that crop production includingwheat, barley, maize, fruits and vegetables in Ninewa and Salahal-Din provided nearly 70 per cent of household income prior to occupation by ISIL.",Salah al-Din,"Saladin/ Salah al-din
",,,,
,,"In addition, based on prevalent circumstances, and OCHA population estimates, this number could reach 3.2 million in the near future. Tis fgure is based primarily on the total populations of Mosul, Hawiga and Anbar that would require assistance once access is permitted.","Mosul
","Nineveh
","Mosul
","
",,
,,"In addition, based on prevalent circumstances, and OCHA population estimates, this number could reach 3.2 million in the near future. Tis fgure is based primarily on the total populations of Mosul, Hawiga and Anbar that would require assistance once access is permitted.",Hawiga,Kirkuk,Kirkuk,Al- Hawiga,,
,,"In addition, based on prevalent circumstances, and OCHA population estimates, this number could reach 3.2 million in the near future. Tis fgure is based primarily on the total populations of Mosul, Hawiga and Anbar that would require assistance once access is permitted.",Anbar,Al Anbar/ Anbar,,,,
,,People displaced by the ongoing military operations in Mosul and Hawiga will require shelter and NFI assistance in camps and host communities.,"Mosul
","Nineveh
","Mosul
","
",,
,,People displaced by the ongoing military operations in Mosul and Hawiga will require shelter and NFI assistance in camps and host communities.,Hawiga,Kirkuk,Kirkuk,Al- Hawiga,,
,,"Initial fndings from damage surveys suggest that 80 per cent of housing in Ramadi is severely damaged. An estimated 560,000 people who have stayed in conﬂict areas are in need of shelter and NFI support, ofen due to collateral
damage of the housing stock. ",Ramadi,Al Anbar/ Anbar,Ramadi,,,
,,"Stronger levels of coordination and the implementation of impartial service provision are needed at governorate, district and site level. Anbar, Baghdad, Diyala, Hamdaniya, Kirkuk, Ninewa, and Salah al-Din Governorates are the highest priorities for the sector.","Anbar
",Al Anbar/ Anbar,"




","


",,
,,"Stronger levels of coordination and the implementation of impartial service provision are needed at governorate, district and site level. Anbar, Baghdad, Diyala, Hamdaniya, Kirkuk, Ninewa, and Salah al-Din Governorates are the highest priorities for the sector.",Baghdad,Baghdad,,,,
,,"Stronger levels of coordination and the implementation of impartial service provision are needed at governorate, district and site level. Anbar, Baghdad, Diyala, Hamdaniya, Kirkuk, Ninewa, and Salah al-Din Governorates are the highest priorities for the sector.",Diyala,Diyala,,,,
,,"Stronger levels of coordination and the implementation of impartial service provision are needed at governorate, district and site level. Anbar, Baghdad, Diyala, Hamdaniya, Kirkuk, Ninewa, and Salah al-Din Governorates are the highest priorities for the sector.",Hamdaniya,Nineveh,Mosul,Al-Hamdaniya,,
,,"Stronger levels of coordination and the implementation of impartial service provision are needed at governorate, district and site level. Anbar, Baghdad, Diyala, Hamdaniya, Kirkuk, Ninewa, and Salah al-Din Governorates are the highest priorities for the sector.",Kirkuk,Kirkuk,,,,
,,"Stronger levels of coordination and the implementation of impartial service provision are needed at governorate, district and site level. Anbar, Baghdad, Diyala, Hamdaniya, Kirkuk, Ninewa, and Salah al-Din Governorates are the highest priorities for the sector.",Ninewa,Nineveh,,,,
,,"Stronger levels of coordination and the implementation of impartial service provision are needed at governorate, district and site level. Anbar, Baghdad, Diyala, Hamdaniya, Kirkuk, Ninewa, and Salah al-Din Governorates are the highest priorities for the sector.",Salah al-Din,"Saladin/ Salah al-Din
",,,,
,,"Many schools are contaminated with explosive hazards and, according to IOM, in January 2017 there was over 3,300 displaced people sheltering in schools throughout Iraq, with the highest proportion in Ninewa and Salah al-Din Governorates.","Ninewa
Salah al- Din","Nineveh
",,,,
,,"Many schools are contaminated with explosive hazards and, according to IOM, in January 2017 there was over 3,300 displaced people sheltering in schools throughout Iraq, with the highest proportion in Ninewa and Salah al-Din Governorates.",Salah al-Din,"Saladin/ Salah al-Din
",,,,
,," Livelihood activities are particularly needed in Anbar, Erbil, Kirkuk and Ninewa.","Anbar

","Al Anbar/ Anbar

",,,,
,," Livelihood activities are particularly needed in Anbar, Erbil, Kirkuk and Ninewa.",Erbil,Erbil/Arbil (K.R),,,,
,," Livelihood activities are particularly needed in Anbar, Erbil, Kirkuk and Ninewa.",Kirkuk,Kirkuk,,,,
,," Livelihood activities are particularly needed in Anbar, Erbil, Kirkuk and Ninewa.",Ninewa,Nineveh,,,,
,,"In terms of geographical distribution, people in Anbar, Ninewa, and Salah al-Din have experienced the greatest deterioration in living conditions and have greatest limitations on livelihood opportunities.","Anbar
","Al Anbar/ Anbar
",,,,
